scorer,,,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc,ymc
bodyparts,,,leg1,leg1,leg2,leg2,leg3,leg3,leg4,leg4,leg5,leg5,leg6,leg6,head,head,tail,tail,prob,prob
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,video1,1.jpg,626.9275,898.923,555.9067,645.9974,430.8965,540.5006,500.3663,987.0425,251.7556,841.7878,191.1592,715.7596,365.2795,684.6624,517.3697,873.0178,,
labeled-data,video1,2.jpg,752.2261,796.8369,616.3875,617.4679,435.7553,538.5022,668.1207,926.0985,517.1659,928.6084,332.9374,846.01,429.198,728.3704,649.689,818.4061,,
labeled-data,video1,3.jpg,838.1985,829.0977,696.8936,651.8987,497.7326,590.3825,770.4424,933.2787,585.6849,977.2169,421.0755,889.1694,516.2423,767.179,736.7424,857.2011,,
labeled-data,video1,4.jpg,1064.9902,620.7289,838.3679,547.6667,633.8794,603.4356,1048.1804,791.2465,900.1236,891.8977,716.7607,882.3939,734.9286,737.4604,985.0701,726.0129,,
labeled-data,video1,5.jpg,1060.5617,621.4421,836.5288,549.0387,636.1108,605.3578,1041.8204,791.1869,897.231,892.2849,722.7383,880.3417,739.8088,737.0704,984.9143,726.2926,,
labeled-data,video1,6.jpg,1060.5638,621.4491,836.5227,549.0332,636.119,605.355,1041.825,791.1825,897.2302,892.2828,722.7317,880.3406,739.8058,737.0799,984.9118,726.2935,,
labeled-data,video1,7.jpg,1060.5648,621.4423,836.5223,549.0368,636.119,605.3579,1041.83,791.1711,897.2644,892.2859,722.7001,880.3408,739.8019,737.0753,984.7778,726.1858,,
labeled-data,video1,8.jpg,1060.5638,621.4458,836.5279,549.0309,636.1185,605.3563,1041.8202,791.1558,897.2981,892.2877,722.6889,880.3482,739.8085,737.0766,984.6368,726.066,,
labeled-data,video1,9.jpg,1060.5679,621.4427,836.5222,549.0378,636.1175,605.3541,1041.8245,791.1498,897.3105,892.2867,722.6537,880.3441,739.8021,737.079,984.5028,725.9554,,
labeled-data,video1,10.jpg,1060.5642,621.4483,836.526,549.0392,636.1164,605.3592,1041.8286,791.1297,897.3417,892.2815,722.6293,880.3424,739.8058,737.0793,984.366,725.844,,
labeled-data,video1,11.jpg,1060.5643,621.4488,836.5254,549.0379,636.1186,605.3517,1041.8296,791.1174,897.38,892.2851,722.6013,880.3437,739.8063,737.0789,984.2344,725.7264,,
labeled-data,video1,12.jpg,1060.5605,621.446,836.5254,549.0377,636.1107,605.3586,1041.8272,791.1014,897.4072,892.2821,722.5777,880.3478,739.8028,737.0704,984.0978,725.6102,,
labeled-data,video1,13.jpg,1060.5677,621.4439,836.5211,549.0386,636.1108,605.3591,1041.8292,791.087,897.4239,892.2844,722.5466,880.3495,739.81,737.0723,983.9584,725.5062,,
labeled-data,video1,14.jpg,1060.5641,621.4419,836.5278,549.0342,636.1153,605.3557,1041.8213,791.0713,897.4519,892.2885,722.5151,880.3468,739.8067,737.0754,983.8229,725.3824,,
labeled-data,video1,15.jpg,1060.5661,621.4494,836.5254,549.0373,636.1136,605.3558,1041.8229,791.065,897.4864,892.288,722.4961,880.3452,739.8056,737.0765,983.682,725.2706,,
labeled-data,video1,16.jpg,1060.5659,621.4407,836.5233,549.04,636.1186,605.358,1041.8292,791.048,897.5087,892.2842,722.4619,880.346,739.8091,737.0714,983.5465,725.1512,,
labeled-data,video1,17.jpg,1060.5651,621.4444,836.5255,549.0365,636.1119,605.3528,1041.8282,791.0338,897.5323,892.2888,722.4371,880.3465,739.8051,737.0751,983.4158,725.046,,
labeled-data,video1,18.jpg,1060.564,621.44,836.5268,549.0336,636.1185,605.3509,1041.8221,791.0243,897.5629,892.2829,722.402,880.3445,739.8001,737.0792,983.2702,724.9341,,
labeled-data,video1,19.jpg,1060.5669,621.4456,836.5209,549.0358,636.1136,605.3503,1041.8283,791.0,897.5932,892.2842,722.3822,880.3463,739.8079,737.076,983.149,724.8197,,
labeled-data,video1,20.jpg,1060.566,621.4457,836.5233,549.0394,636.1129,605.358,1041.8254,790.9976,897.6165,892.2832,722.3554,880.3434,739.8015,737.0741,983.0,724.7056,,
labeled-data,video1,21.jpg,1060.5645,621.445,836.5234,549.0384,636.1193,605.3591,1041.823,790.9748,897.6464,892.2844,722.3228,880.3485,739.8001,737.0753,982.8686,724.5966,,
labeled-data,video1,22.jpg,1060.563,621.4416,836.5264,549.0362,636.1143,605.3544,1041.8241,790.9617,897.6742,892.2847,722.3004,880.3424,739.8002,737.0719,982.7348,724.4702,,
labeled-data,video1,23.jpg,1060.5681,621.448,836.5236,549.0314,636.1145,605.3516,1041.8265,790.9513,897.6932,892.2842,722.2709,880.3484,739.8002,737.0735,982.5973,724.3688,,
labeled-data,video1,24.jpg,1060.5637,621.4487,836.5202,549.035,636.1126,605.3544,1041.8274,790.9324,897.721,892.2827,722.249,880.342,739.8034,737.079,982.4501,724.2594,,
labeled-data,video1,25.jpg,1060.5621,621.4483,836.5292,549.0397,636.1193,605.3546,1041.8288,790.9269,897.7582,892.2865,722.211,880.3484,739.8096,737.0792,982.3212,724.1305,,
labeled-data,video1,26.jpg,1060.5658,621.4422,836.5219,549.0397,636.1105,605.3578,1041.8256,790.9129,897.7897,892.2874,722.196,880.3439,739.8029,737.0757,982.1857,724.0201,,
labeled-data,video1,27.jpg,1060.567,621.4411,836.5207,549.0305,636.1103,605.3519,1041.8281,790.8925,897.8029,892.2811,722.1619,880.3491,739.8056,737.0796,982.0522,723.9147,,
labeled-data,video1,28.jpg,1060.5683,621.4469,836.5202,549.0394,636.1155,605.3595,1041.8245,790.886,897.8346,892.285,722.1314,880.3499,739.8053,737.0782,981.9183,723.7988,,
labeled-data,video1,29.jpg,1060.5694,621.4414,836.5252,549.0365,636.1113,605.3598,1041.8229,790.8762,897.868,892.2829,722.1018,880.3473,739.81,737.0796,981.7772,723.6874,,
labeled-data,video1,30.jpg,1060.568,621.447,836.5245,549.0396,636.1193,605.3547,1041.8231,790.854,897.8947,892.2834,722.0844,880.3442,739.8083,737.0738,981.6494,723.571,,
labeled-data,video1,31.jpg,1060.5685,621.4438,836.5213,549.0309,636.112,605.3522,1041.8251,790.8457,897.9195,892.2819,722.0585,880.3443,739.8052,737.0777,981.5027,723.4529,,
labeled-data,video1,32.jpg,1060.5605,621.4465,836.5296,549.0393,636.1171,605.3507,1041.8256,790.8208,897.9487,892.2843,722.0229,880.3415,739.8091,737.0777,981.3686,723.3499,,
labeled-data,video1,33.jpg,1060.5651,621.4488,836.5283,549.0379,636.1159,605.3577,1041.8267,790.8188,897.9735,892.2837,722.0,880.3479,739.8088,737.0762,981.2372,723.2264,,
labeled-data,video1,34.jpg,1060.567,621.4459,836.5262,549.0351,636.1178,605.3597,1041.8224,790.8096,897.9907,892.2893,721.9741,880.3475,739.8001,737.0742,981.0994,723.1176,,
labeled-data,video1,35.jpg,1060.5697,621.4478,836.5213,549.0374,636.1124,605.3501,1041.8213,790.7829,898.0255,892.2864,721.941,880.3465,739.8091,737.0748,980.9619,723.0,,
labeled-data,video1,36.jpg,1060.5683,621.4486,836.5211,549.0391,636.1199,605.3565,1041.8296,790.7757,898.0566,892.2852,721.9141,880.3414,739.8063,737.0772,980.8241,722.8887,,
labeled-data,video1,37.jpg,1060.5689,621.4405,836.5261,549.0324,636.1194,605.3584,1041.8291,790.761,898.0872,892.2828,721.8903,880.3476,739.8082,737.0714,980.868,722.8985,,
labeled-data,video1,38.jpg,1060.5663,621.4428,836.5283,549.0311,636.116,605.3534,1041.8258,790.7448,898.1045,892.2864,721.8637,880.3459,739.8005,737.0743,980.9004,722.8999,,
labeled-data,video1,39.jpg,1060.5691,621.4411,836.5242,549.0335,636.119,605.3588,1041.8259,790.7321,898.1393,892.2858,721.839,880.3417,739.8073,737.0755,980.9378,722.8902,,
labeled-data,video1,40.jpg,1060.5648,621.4499,836.5282,549.0314,636.1188,605.3585,1041.8224,790.7292,898.1699,892.289,721.8195,880.3428,739.8073,737.0792,980.9706,722.8926,,
labeled-data,video1,41.jpg,1060.5621,621.442,836.5201,549.0393,636.1122,605.3569,1041.8211,790.7085,898.1932,892.2825,721.789,880.3462,739.8048,737.0771,981.014,722.9014,,
labeled-data,video1,42.jpg,1060.5656,621.4497,836.5254,549.0376,636.1178,605.359,1041.8258,790.6904,898.2171,892.2867,721.7567,880.3439,739.8086,737.0705,981.0564,722.9044,,
labeled-data,video1,43.jpg,1060.5659,621.4425,836.5204,549.0333,636.1106,605.3584,1041.8216,790.6721,898.2485,892.2872,721.7265,880.3479,739.8088,737.0751,981.0963,722.9036,,
labeled-data,video1,44.jpg,1060.5691,621.4431,836.5206,549.0357,636.1122,605.3545,1041.8276,790.6632,898.272,892.2812,721.7074,880.3416,739.8042,737.0779,981.129,722.9161,,
labeled-data,video1,45.jpg,1060.5698,621.4438,836.5249,549.0355,636.1188,605.3532,1041.8214,790.653,898.2957,892.2863,721.6791,880.3433,739.801,737.0752,981.1602,722.9166,,
labeled-data,video1,46.jpg,1060.5609,621.4448,836.5289,549.0333,636.1195,605.3554,1041.8245,790.6389,898.3282,892.2864,721.6428,880.3433,739.8087,737.07,981.2028,722.9105,,
labeled-data,video1,47.jpg,1060.5637,621.4486,836.5256,549.0348,636.1161,605.3589,1041.8215,790.6254,898.3565,892.2876,721.6131,880.3432,739.8043,737.0767,981.2401,722.9109,,
labeled-data,video1,48.jpg,1060.5654,621.4468,836.5248,549.0303,636.1158,605.3583,1041.8236,790.6109,898.3858,892.2821,721.5994,880.343,739.8077,737.0712,981.2891,722.9238,,
labeled-data,video1,49.jpg,1060.5624,621.443,836.5242,549.0324,636.1116,605.3513,1041.8285,790.5927,898.4054,892.2882,721.5634,880.3447,739.8033,737.076,981.322,722.9275,,
labeled-data,video1,50.jpg,1060.5666,621.447,836.5216,549.0395,636.119,605.3576,1041.8272,790.5848,898.4383,892.2862,721.5321,880.342,739.8002,737.0717,981.3547,722.9299,,
labeled-data,video1,51.jpg,1060.5672,621.4444,836.5226,549.0335,636.1192,605.3555,1041.8237,790.5755,898.4699,892.2836,721.5176,880.3446,739.8082,737.0761,981.3965,722.9209,,
labeled-data,video1,52.jpg,1060.5641,621.4467,836.5206,549.0399,636.1157,605.3568,1041.8242,790.5532,898.4863,892.2816,721.4877,880.3468,739.8068,737.0766,981.4307,722.9301,,
labeled-data,video1,53.jpg,1060.5627,621.4452,836.5259,549.0352,636.1101,605.3597,1041.8239,790.5463,898.5107,892.2817,721.4503,880.3468,739.8024,737.0797,981.4792,722.9316,,
labeled-data,video1,54.jpg,1060.5656,621.4436,836.5236,549.0341,636.1122,605.3535,1041.8281,790.5247,898.5421,892.2816,721.4224,880.3441,739.8005,737.0762,981.5165,722.9396,,
labeled-data,video1,55.jpg,1060.5684,621.4452,836.5258,549.0332,636.1123,605.3572,1041.8229,790.5183,898.576,892.2891,721.403,880.3415,739.8016,737.0767,981.5418,722.9475,,
labeled-data,video1,56.jpg,1060.5669,621.4482,836.524,549.0323,636.1102,605.3584,1041.8272,790.5013,898.5906,892.2865,721.371,880.3431,739.8048,737.0732,981.5896,722.944,,
labeled-data,video1,57.jpg,1060.564,621.4463,836.5248,549.0307,636.1146,605.3513,1041.8241,790.4805,898.6228,892.288,721.3485,880.3483,739.8004,737.0792,981.6205,722.9435,,
labeled-data,video1,58.jpg,1060.5612,621.4455,836.5261,549.0343,636.1115,605.36,1041.8203,790.4727,898.6506,892.2872,721.3164,880.3406,739.8071,737.072,981.6635,722.9414,,
labeled-data,video1,59.jpg,1060.5606,621.4465,836.524,549.0338,636.1158,605.3503,1041.8298,790.4626,898.6805,892.2812,721.2996,880.3477,739.8075,737.079,981.7069,722.9573,,
labeled-data,video1,60.jpg,1060.5663,621.4481,836.5289,549.0358,636.1125,605.3551,1041.8286,790.44,898.7011,892.2871,721.2645,880.3492,739.8008,737.0709,981.7475,722.9515,,
labeled-data,video1,61.jpg,1060.5666,621.4413,836.5291,549.0395,636.1177,605.3512,1041.8246,790.4351,898.7333,892.2833,721.2321,880.3419,739.805,737.0732,981.7798,722.9563,,
labeled-data,video1,62.jpg,1060.5632,621.4482,836.5235,549.0358,636.1151,605.3503,1041.8206,790.4245,898.762,892.2859,721.2197,880.3461,739.8,737.0727,981.8158,722.9595,,
labeled-data,video1,63.jpg,1060.5639,621.4481,836.5251,549.0359,636.1156,605.3554,1041.8241,790.4088,898.7839,892.2826,721.1892,880.3407,739.8043,737.0722,981.8513,722.9647,,
labeled-data,video1,64.jpg,1060.5694,621.4417,836.5297,549.0396,636.1166,605.3586,1041.828,790.3993,898.8133,892.2874,721.1573,880.3498,739.8034,737.0761,981.8995,722.9631,,
labeled-data,video1,65.jpg,1060.5637,621.4445,836.5243,549.0307,636.1113,605.3522,1041.828,790.3795,898.8403,892.2856,721.1288,880.3401,739.8053,737.073,981.9353,722.9605,,
labeled-data,video1,66.jpg,1060.5645,621.4488,836.521,549.0355,636.1138,605.3502,1041.823,790.3665,898.8786,892.2889,721.1002,880.3445,739.8049,737.0769,981.9662,722.9706,,
